id,weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_DISTANCE_att,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_SIG_STR_att,R_avg_opp_SIG_STR_att,R_avg_TOTAL_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
10.0,5,42.0,61.0,79.0,114.0,58.0,3.0,1.0,17.0,0.0,180.34,155.0,31.0,46.0,36.0,54.0,3.0,11.0,26.0,35.0,1.0,180.34,180.34,155.0,1,0
11.0,5,133.5,101.0,173.5,136.0,88.25,6.75,4.5,77.5,0.0,172.72,145.0,127.5,116.5,146.5,132.25,21.0,15.75,107.5,88.75,1.0,180.34,185.42,155.0,1,0
12.0,8,85.60126162,90.398983,92.20438719,99.56087446,80.06436157,6.30442524,3.852147102,79.9126749,4.0,185.42,205.0,167.0,190.0,175.0,195.0,5.0,14.0,137.0,177.0,0.0,190.5,198.12,205.0,1,0
13.0,8,31.0,89.0,44.0,153.0,53.0,27.0,26.0,22.0,0.0,180.34,205.0,24.0,48.0,38.0,68.0,1.0,5.0,20.0,17.0,0.0,177.8,198.12,205.0,1,0
14.0,7,56.375,48.0,86.23701096,73.0,41.5,4.25,2.25,37.5,0.0,187.96,185.0,93.0,60.0,121.0,60.0,12.0,3.0,64.0,60.0,0.0,182.88,193.04,185.0,1,0
15.0,6,105.7460938,103.265625,124.984375,124.6289063,80.08984375,17.49609375,10.88867188,85.30664063,2.0,187.96,170.0,67.59716797,139.2287598,71.42285156,151.5922852,8.153808594,10.80712891,65.45092773,136.6101074,1.0,182.88,182.88,170.0,1,0
16.0,9,105.0,83.0,133.5,88.5,77.0,4.5,2.0,65.0,1.0,185.42,185.0,45.0,20.0,56.0,24.5,4.5,4.5,23.5,17.0,2.0,190.5,208.28,265.0,1,0
17.0,3,82.8125,65.75,86.75,76.75,51.5,13.53125,11.0,47.0,0.0,175.26,135.0,60.375,113.0,66.0,116.8125,5.0,14.5,71.0,109.0,0.0,165.1,180.34,135.0,0,0
18.0,1,159.0,91.0,199.0,113.0,52.0,21.0,11.0,70.0,0.0,160.02,115.0,196.0,145.0,200.0,146.0,46.0,24.0,186.0,139.0,0.0,154.94,152.4,115.0,0,0
19.0,7,105.0,71.0,171.0,79.0,50.0,15.0,11.0,60.0,0.0,187.96,185.0,81.0,23.0,100.0,63.0,8.0,2.0,29.0,8.0,0.0,182.88,193.04,185.0,1,0
20.0,8,168.0625,138.4609375,261.3320313,165.2773438,114.40625,13.94140625,11.0703125,119.2890625,2.0,185.42,185.0,118.3125,86.375,165.6875,103.125,43.625,10.0,65.5625,45.625,1.0,185.42,190.5,205.0,1,0
21.0,4,79.0,88.4375,111.5,91.0,73.0,12.0,6.5,83.82006836,0.0,177.8,145.0,41.25,53.5,67.5,104.25,4.0,5.0,30.25,40.5,0.0,170.18,175.26,145.0,1,0
22.0,7,75.72982788,68.7850647,105.0072632,85.0324707,40.44512939,14.97659302,6.530853271,60.10235596,1.0,187.96,185.0,95.86737061,168.1296387,99.16717529,180.682312,5.829406738,8.9609375,89.15167236,155.5488892,2.0,185.42,198.12,185.0,1,0
23.0,7,26.68206787,19.31607056,35.72317505,29.32635498,15.19396973,2.56022644,1.956100464,12.09103394,4.0,182.88,185.0,76.57617188,52.0078125,91.7421875,77.078125,10.7421875,6.130859375,57.91992188,35.29101563,1.0,185.42,187.96,185.0,1,0
24.0,4,43.75,67.25,46.25,78.75,51.5,10.25,8.25,43.5,1.0,180.34,155.0,76.0,36.0,150.0,55.5,8.0,3.0,12.0,10.5,0.0,177.8,177.8,145.0,1,0
25.0,6,51.125,38.0,120.0,47.0,31.0,2.0,2.66796875,31.375,0.0,177.8,170.0,62.07421875,111.7949219,64.2421875,117.7089844,14.26367188,6.275390625,59.00585938,92.03125,2.0,185.42,187.96,170.0,1,0
26.0,2,101.8125,101.0,142.0,167.125,77.5,20.0,11.0,99.0,0.0,172.72,125.0,178.0,73.0,261.0,77.0,11.0,2.0,82.0,72.0,0.0,162.56,175.26,125.0,1,0
27.0,6,135.9375,89.59375,141.78125,94.140625,61.296875,16.0625,7.203125,82.6875,1.0,177.8,170.0,135.0625,161.40625,143.3125,200.046875,5.53125,33.1875,126.2421875,140.1328125,1.0,182.88,187.96,170.0,1,0
28.0,5,116.0,54.0,129.0,59.0,39.0,13.0,12.0,42.0,1.0,177.8,155.0,27.0,63.5,32.5,76.5,4.0,7.0,22.0,34.0,1.0,180.34,185.42,155.0,1,0
29.0,6,38.0,64.0,88.0,87.0,40.0,20.0,12.0,29.0,0.0,175.26,155.0,30.703125,50.390625,34.453125,59.96875,1.625,5.59375,24.53125,28.5,2.0,185.42,190.5,170.0,1,0
30.0,9,143.0,161.0,144.0,163.0,114.0,20.0,10.0,145.0,0.0,187.96,250.0,31.5625,24.4375,31.875,25.125,2.375,0.625,27.5,13.9375,3.0,190.5,198.12,260.0,1,0
31.0,5,100.0,114.375,107.125,122.625,97.5,14.375,7.625,101.0,0.0,175.26,155.0,135.5,68.5,179.5,89.5,17.75,13.5,116.5,58.75,0.0,170.18,182.88,155.0,1,0
32.0,7,44.4074707,19.65478516,58.85595703,24.14697266,17.75805664,1.042724609,0.773681641,17.25097656,4.0,187.96,185.0,68.78839111,56.82232666,101.9785156,63.20678711,2.600158691,6.622009277,39.20092773,47.46697998,4.0,187.96,190.5,170.0,1,0
33.0,5,111.5625,110.125,115.0,115.3125,84.0625,15.9375,6.0,105.4375,0.0,177.8,155.0,180.7243045,221.5770007,183.2564141,225.7105859,22.09312356,18.84872031,178.7053872,209.1616867,4.0,172.72,175.26,155.0,1,0
34.0,3,31.0,58.0625,75.6875,66.875,52.125,3.0,4.03125,44.0,0.0,170.18,135.0,92.265625,87.359375,102.09375,94.703125,10.859375,11.65625,77.609375,74.953125,2.0,170.18,175.26,135.0,1,0
35.0,9,60.0625,45.3125,79.6875,71.25,40.5,2.5625,2.5625,38.9375,3.0,177.8,265.0,114.4121094,132.1738281,123.5253906,189.8066406,25.5,14.61328125,98.84960938,80.78515625,7.0,193.04,195.58,238.0,1,0
36.0,4,97.5,121.75,110.25,132.25,82.5,20.0,12.75,100.25,0.0,182.88,145.0,148.0,133.0,156.5,140.5,16.0,15.5,133.0,105.5,1.0,172.72,182.88,145.0,1,0
37.0,6,133.0,61.0,190.0,62.0,43.0,10.0,6.0,55.0,0.0,180.34,170.0,93.0,51.4375,119.625,53.4375,14.8125,4.0625,67.65625,49.90625,1.0,182.88,193.04,170.0,1,0
38.0,3,79.0,46.54541016,111.5,86.0,38.81640625,12.75,8.796875,34.1875,0.0,177.8,135.0,38.0,52.15625,53.5,72.0,4.671875,10.0,32.0,30.25,0.0,160.02,160.02,125.0,1,0
39.0,6,9.5,20.8125,29.25,32.125,18.375,1.3125,1.25,7.9375,0.0,187.96,170.0,54.38862633,41.78816117,80.30160562,70.59259177,9.156545095,2.811696574,17.06888683,25.44074138,5.0,177.8,182.88,170.0,1,0
40.0,3,24.0,5.5,26.5,5.5,4.0,0.0,0.0,5.0,1.0,172.72,135.0,100.5,88.75,101.25,90.25,13.0,5.25,89.25,84.75,2.0,170.18,177.8,145.0,1,0
41.0,8,57.5,103.25,69.0,117.25,78.0,12.5,10.25,76.0,0.0,180.34,205.0,17.71875,24.30859375,29.74609375,56.16015625,3.83203125,2.52734375,9.09765625,6.15625,0.0,185.42,190.5,205.0,1,0
42.0,5,246.1390381,223.7438965,248.5882568,226.7331543,197.0665283,16.18334961,8.783813477,218.9093018,3.0,177.8,155.0,78.33496094,50.625,84.16119385,57.0512085,4.5390625,4.504760742,49.14300537,44.72412109,5.0,175.26,182.88,155.0,1,0
43.0,1,170.0,166.5,207.5,189.5,123.5,33.5,18.5,152.5,0.0,165.1,125.0,100.6875,120.03125,128.28125,132.5625,2.46875,5.9375,83.0,105.75,0.0,162.56,160.02,115.0,0,0
44.0,6,124.0625,69.07836914,135.3659668,95.35266113,61.40820313,4.632080078,2.856567383,65.35424805,1.0,182.88,170.0,145.9862585,86.46806812,177.0207205,92.55366707,13.5530262,5.699589729,118.7625961,78.44107628,5.0,190.5,203.2,170.0,1,0
45.0,6,26.75,11.75,27.75,20.0,10.0,0.25,0.0,9.5,2.0,187.96,205.0,13.0,30.0,61.0,57.0,1.0,1.0,9.0,7.0,0.0,177.8,187.96,170.0,1,0
46.0,5,79.0,53.25,68.5,63.0,37.75,6.5,5.296875,60.90625,0.0,180.34,155.0,88.578125,140.171875,102.0,122.625,14.75,3.5,83.0,85.9631176,0.0,172.72,175.26,155.0,1,0
47.0,7,5.0,31.0,5.0,32.0,24.0,1.0,1.0,30.0,0.0,177.8,185.0,28.5,17.0,62.5,29.0,0.0,3.0,13.5,16.0,1.0,182.88,193.04,185.0,1,0
48.0,5,66.96875,60.03125,83.53125,91.25,41.40625,10.0,6.0625,40.46875,0.0,175.26,155.0,36.0,25.5,58.5,34.25,1.25,2.75,12.0,9.75,2.0,180.34,180.34,155.0,1,0
49.0,6,51.125,77.03125,66.65625,95.65625,67.3125,4.15625,3.09375,66.25,2.0,175.26,170.0,35.32836914,32.61816406,54.44165039,38.27099609,6.444091797,2.973022461,22.57629395,21.95654297,4.0,187.96,190.5,170.0,1,0
50.0,5,137.5,221.0,155.5,225.0,211.5,7.5,2.5,218.0,0.0,175.26,155.0,66.5,30.5,94.5,53.0,13.0,3.5,43.0,26.5,0.0,175.26,180.34,155.0,1,0
51.0,6,63.0,38.296875,78.5,61.75,38.0,5.5,4.33203125,28.5,0.0,177.8,170.0,191.5,107.0,210.5,110.5,12.0,13.0,171.5,105.5,1.0,177.8,185.42,170.0,1,0
52.0,3,100.5,98.875,110.75,103.5625,70.3125,11.5,5.625,92.75,0.0,172.72,135.0,105.5,73.0,165.5,75.0,12.0,11.5,84.5,70.0,0.0,167.64,175.26,140.0,1,0
53.0,6,29.0,16.5,57.5,43.0,7.5,4.0,2.5,7.0,0.0,180.34,170.0,16.625,16.875,29.25,20.75,0.25,1.875,13.875,13.125,0.0,177.8,187.96,170.0,1,0
54.0,5,81.25,116.0,111.5,146.8222656,100.0,16.0,10.88867188,80.5,0.0,180.34,155.0,82.8125,44.15625,101.90625,48.5,9.84375,4.28125,69.21875,38.59375,2.0,175.26,187.96,155.0,1,0
55.0,8,100.125,90.5,106.875,104.5,75.375,2.375,1.75,79.25,0.0,187.96,205.0,45.75,47.5625,47.1875,49.21875,3.25,4.15625,42.40625,45.5625,2.0,187.96,195.58,185.0,1,0
56.0,5,75.0,114.5,76.0,155.5,98.0,9.0,8.5,84.5,0.0,190.5,155.0,54.70751953,78.78265381,61.79736328,84.69366455,5.165710449,7.775024414,49.8760376,63.70025635,1.0,175.26,177.8,155.0,1,0
57.0,7,92.22851563,104.3144531,105.3125,122.6171875,77.57226563,5.904296875,1.888671875,93.94335938,3.0,187.96,170.0,54.375,33.125,67.75,52.125,8.375,3.5,17.625,22.625,2.0,182.88,180.34,185.0,1,0
58.0,2,77.125,105.25,77.75,105.75,79.0,9.25,2.75,102.375,2.0,170.18,125.0,50.953125,52.453125,60.125,55.34375,4.640625,1.0,48.953125,47.125,0.0,172.72,177.8,125.0,1,0
59.0,4,191.0,132.5,209.0,140.0,97.5,33.0,24.0,123.5,0.0,170.18,145.0,56.5,74.5,67.0,96.0,14.5,8.0,40.0,51.5,0.0,177.8,177.8,145.0,1,0
60.0,9,70.578125,61.9375,85.078125,66.0625,50.78125,6.953125,5.296875,50.390625,2.0,190.5,235.0,38.26953125,16.95703125,77.2421875,24.78515625,3.0,1.296875,17.87890625,13.07421875,2.0,193.04,203.2,265.0,1,0
61.0,2,109.0,102.5,114.0,128.0,77.5,9.5,6.0,88.5,1.0,162.56,125.0,85.75,50.875,92.375,55.3125,21.25,5.9375,69.5,46.6875,3.0,160.02,170.18,135.0,1,0
62.0,6,50.5,50.125,53.0625,50.875,35.0625,9.3125,5.375,46.3125,4.0,177.8,170.0,74.73046875,63.609375,78.1953125,66.36328125,3.39453125,8.4375,68.890625,62.82421875,4.0,182.88,185.42,170.0,1,0
63.0,9,45.9296875,32.3125,75.0546875,48.375,24.578125,4.71875,2.203125,28.53125,3.0,185.42,253.0,82.12046337,91.37389374,85.00841713,129.666091,11.24425507,17.5427084,77.44373894,71.39541721,5.0,210.82,213.36,265.0,1,0
64.0,8,44.4375,32.0,73.0,34.9375,17.0,4.0,2.25,36.09375,0.0,198.12,205.0,60.625,43.375,67.0625,57.6875,5.9375,9.5,54.25,40.09375,3.0,185.42,193.04,205.0,1,0
65.0,2,63.0,64.0,69.0,103.0,50.0,11.0,6.0,49.0,0.0,165.1,125.0,177.5,122.5,191.0,138.625,15.25,18.625,158.875,109.375,0.0,167.64,175.26,125.0,1,0
66.0,6,9.5,2.0,18.5,3.5,1.5,0.0,0.0,2.0,1.0,177.8,170.0,5.5,14.0,10.5,76.5,1.0,1.5,2.5,2.0,0.0,177.8,177.8,155.0,1,0
67.0,3,243.5,179.5,265.75,190.25,141.75,20.0,12.5,158.0,0.0,172.72,135.0,164.0,104.5,206.5,111.5,14.0,23.0,139.0,77.0,0.0,167.64,172.72,135.0,1,0
68.0,8,127.2274513,224.6593227,131.9021873,232.3482857,170.4367714,18.57778931,9.211576462,205.421629,11.0,187.96,185.0,182.34375,165.78125,245.53125,177.9375,15.640625,25.421875,129.515625,138.75,1.0,180.34,182.88,235.0,1,0
69.0,3,120.4179688,160.0078125,163.0410156,192.6142578,115.2363281,27.92675781,14.32910156,144.1992188,0.0,170.18,135.0,67.49609375,73.0,97.9921875,84.42578125,8.451171875,15.33984375,57.23242188,62.81054688,2.0,172.72,175.26,135.0,0,0
70.0,4,70.0,99.25,127.0,135.0,83.75,6.75,3.25,59.25,0.0,167.64,145.0,3.0,4.5,3.0,4.5,0.0,0.0,3.0,3.0,1.0,177.8,180.34,145.0,1,0
71.0,3,71.0,106.0,82.0,112.0,90.0,10.0,2.0,102.0,0.0,175.26,135.0,25.0,29.5,34.5,41.625,3.25,8.75,17.375,13.0,0.0,162.56,162.56,125.0,0,0
72.0,3,84.75,57.375,116.875,63.375,49.0,6.25,2.0,49.5,1.0,172.72,135.0,57.0,128.0,103.0,187.0,5.0,15.0,43.0,54.0,0.0,165.1,170.18,135.0,1,0
73.0,5,70.0,58.0625,78.0,63.21875,55.0,7.28125,4.0,60.75,0.0,185.42,155.0,157.5,157.625,169.375,165.28125,25.90625,21.1875,143.1875,142.4375,1.0,175.26,180.34,155.0,1,0
74.0,5,64.09375,61.03125,66.65625,65.59375,52.375,6.59375,3.0,53.0625,1.0,172.72,155.0,37.0,48.0,61.0,64.5,2.5,4.5,17.0,16.5,1.0,180.34,180.34,155.0,1,0
75.0,8,89.01757813,64.18945313,157.0058594,83.96289063,56.234375,6.447265625,4.8828125,38.76171875,0.0,182.88,205.0,84.81811523,119.9224854,102.4179688,197.331543,12.25976563,15.88183594,78.18847656,77.7923584,5.0,193.04,193.04,205.0,1,0
76.0,3,70.0,85.0,89.0,103.4375,80.06436157,10.0,5.875,75.75,0.0,162.56,115.0,240.9375,173.75,245.0,180.03125,23.8125,10.28125,218.1875,154.59375,1.0,175.26,167.64,135.0,0,0
77.0,6,87.4375,88.4375,92.359375,91.0,76.25,7.0,4.6015625,82.6875,0.0,177.8,170.0,94.125,91.37389374,107.921875,133.0,12.22265625,4.4375,63.65625,63.5,0.0,185.42,187.96,170.0,1,0
78.0,4,40.0,47.0,77.0,86.0,35.0,10.0,8.0,39.0,0.0,172.72,145.0,78.25,44.25,115.5,58.5,9.0,7.0,45.75,37.75,0.0,175.26,175.26,145.0,1,0
79.0,4,75.0,48.0,75.0,56.0,47.0,1.0,1.0,35.0,0.0,172.72,145.0,115.5,176.0,122.0,221.0,7.5,30.0,97.5,139.5,0.0,165.1,175.26,145.0,1,0
80.0,8,10.0,4.0,24.0,8.0,3.0,0.0,0.0,4.0,0.0,190.5,185.0,61.0,22.0,72.0,30.0,14.0,3.0,17.0,12.0,1.0,185.42,190.5,185.0,1,0
81.0,5,79.875,98.25,99.125,122.125,80.625,11.625,6.75,80.875,0.0,172.72,155.0,57.00952148,61.58178711,72.64282227,78.16064453,8.459960938,5.748046875,45.69360352,54.64013672,3.0,175.26,185.42,155.0,1,0
82.0,7,41.0,41.5,42.0,73.0,30.5,9.0,6.5,26.0,1.0,193.04,185.0,68.7109375,50.359375,77.0546875,62.4296875,9.5078125,13.6953125,44.1171875,44.703125,4.0,187.96,190.5,205.0,1,0
83.0,4,142.75,151.5,157.0,182.0,129.5,12.75,6.5,126.75,0.0,177.8,135.0,142.25,106.0,168.0,110.75,11.0,12.25,123.0,100.0,0.0,185.42,185.42,145.0,1,0
84.0,3,130.0,232.0,141.0,240.0,143.0,22.0,14.0,221.0,0.0,167.64,135.0,82.91870117,85.73901367,83.13220215,86.11706543,17.34875488,16.01757813,80.6517334,84.22619629,5.0,170.18,175.26,135.0,1,0
85.0,5,71.0,100.5,94.53125,135.5,89.0,2.0,4.5,59.25,0.0,170.18,145.0,72.5,164.0,75.13085938,180.03125,4.0,13.5,45.70996094,155.1875,0.0,177.8,182.88,145.0,1,0
86.0,3,226.0,185.0,298.0,216.0,113.0,71.0,64.0,160.0,0.0,175.26,135.0,105.0,73.0,118.0,82.0,9.0,10.0,96.0,62.0,0.0,167.64,172.72,135.0,1,0
87.0,8,51.0,46.0,52.0,47.0,38.0,2.0,2.0,44.0,1.0,180.34,205.0,91.359375,163.8242188,125.1054688,169.9804688,10.59765625,9.9609375,62.7890625,152.453125,5.0,187.96,187.96,205.0,1,0
88.0,7,14.53125,15.71875,17.75,19.65625,12.09375,3.0,2.25,8.3125,0.0,185.42,185.0,59.0,66.0,84.0,96.0,6.0,11.0,37.0,50.0,0.0,180.34,190.5,170.0,1,0
89.0,5,77.75,65.75,58.0,74.0,55.0,10.0,6.0,42.0,0.0,185.42,155.0,31.0,15.0,53.0,16.0,7.0,1.0,22.0,13.0,1.0,182.88,182.88,155.0,1,0
90.0,8,17.0,25.0,45.0,90.0,16.5,4.0,3.0,12.5,0.0,185.42,205.0,14.0,29.0,21.0,76.0,4.0,4.0,13.0,11.0,0.0,185.42,190.5,205.0,1,0
91.0,5,57.25,58.98046875,71.80078125,79.40625,48.11328125,6.7734375,4.671875,45.67578125,2.0,177.8,155.0,60.609375,50.8359375,62.53125,55.59375,3.875,2.015625,53.7734375,43.3671875,1.0,185.42,185.42,145.0,1,0
92.0,7,70.73925781,66.22753906,74.81542969,72.13476563,52.21972656,10.09375,6.94921875,55.87207031,2.0,175.26,185.0,55.52710533,84.03530121,63.66147423,101.1463223,2.869668961,6.186279297,48.62973976,63.26715279,2.0,185.42,198.12,185.0,1,0
93.0,2,34.25,53.25,39.25,75.25,47.5,3.5,2.25,39.0,0.0,160.02,125.0,23.5625,35.6875,49.3125,44.25,5.75,7.75,17.5,20.9375,0.0,167.64,172.72,125.0,0,0
94.0,5,131.875,93.0,147.0,103.375,68.25,15.0,12.125,82.875,2.0,175.26,155.0,69.49315643,69.6005249,88.34253693,92.62042236,10.26845169,4.23141098,54.8823967,53.71379852,2.0,172.72,172.72,145.0,1,0
95.0,4,118.0,147.5,124.0,156.75,117.0,10.0,6.25,143.0,0.0,180.34,155.0,135.375,136.125,138.625,157.375,11.875,13.75,129.375,129.375,2.0,172.72,175.26,145.0,1,0
96.0,5,142.0,122.0,155.0,125.0,106.0,13.0,6.0,120.0,0.0,175.26,170.0,99.5,95.5,102.5,115.5,21.5,10.5,87.5,81.0,0.0,177.8,177.8,170.0,1,0
97.0,2,131.5,136.5,141.0,177.0,100.0,22.5,14.0,122.0,1.0,162.56,125.0,92.93554688,84.50292969,117.6699219,103.7822266,16.80371094,10.21484375,86.52539063,75.07910156,0.0,167.64,167.64,125.0,0,0
98.0,7,62.0,22.0,83.0,76.0,15.0,7.0,5.0,3.0,1.0,190.5,185.0,42.0,10.0,42.0,10.0,0.0,0.0,19.0,10.0,1.0,182.88,193.04,185.0,1,0
99.0,8,8.75,4.25,8.75,4.5,3.25,0.0,0.0,3.25,3.0,198.12,205.0,107.1416016,68.11206055,130.1123047,73.11987305,15.28393555,6.240234375,89.24291992,55.80102539,2.0,190.5,200.66,205.0,1,0
100.0,5,67.25,60.03125,77.0,69.75,48.32507324,3.5,3.0,46.3125,0.0,177.8,155.0,61.25,60.75,63.5,64.5,12.0,14.5,54.0,46.75,1.0,180.34,187.96,155.0,1,0
101.0,8,51.5,55.0,58.5,64.25,44.0,5.75,4.0,50.5,0.0,190.5,205.0,63.1640625,34.109375,85.7265625,41.25,13.9375,2.6875,37.3828125,27.7421875,0.0,187.96,200.66,205.0,1,0
102.0,7,23.0,20.0,29.0,20.0,9.0,3.0,0.0,18.0,0.0,185.42,185.0,59.66894531,73.95019531,94.14404297,94.67724609,13.63476563,10.67382813,51.01953125,62.59375,0.0,185.42,198.12,185.0,1,0
103.0,7,32.25,22.875,33.0,24.5,19.75,1.25,1.0,18.5,2.0,187.96,185.0,121.9470215,119.4368591,137.0479736,129.2928772,23.32748413,21.4130249,110.7059021,106.9733887,6.0,185.42,195.58,185.0,1,0
104.0,5,70.0,85.0,130.0,132.0,73.0,7.0,7.0,59.0,0.0,185.42,155.0,44.0,87.0,49.0,122.0,13.0,6.0,42.0,62.0,0.0,182.88,182.88,145.0,1,0
105.0,6,98.3828125,65.3671875,104.3984375,67.75,45.546875,12.0703125,5.5,60.6875,1.0,180.34,170.0,112.546875,133.703125,131.4375,146.421875,22.609375,20.25,87.046875,114.546875,1.0,180.34,193.04,170.0,1,0
106.0,5,67.125,58.125,70.375,66.875,52.125,4.5,3.375,50.75,1.0,175.26,155.0,76.0,129.5,92.5,152.5,4.0,14.0,71.0,108.0,0.0,172.72,177.8,155.0,1,0
107.0,9,97.5,90.398983,98.0,75.375,56.5625,13.72851563,12.33154297,78.25,0.0,190.5,265.0,121.0,117.5162439,114.5212402,120.1073341,4.62109375,10.0,139.0,108.0,0.0,190.5,193.04,235.0,1,0
108.0,3,112.828125,117.2851563,122.4492188,131.5820313,78.27734375,25.203125,14.89453125,103.7851563,2.0,172.72,135.0,51.75,38.375,65.625,53.25,12.25,11.875,32.875,24.875,0.0,167.64,172.72,135.0,1,0
109.0,8,37.90625,19.9375,48.375,22.75,16.671875,1.140625,0.453125,18.1875,2.0,193.04,205.0,65.5625,49.5625,74.5625,59.3125,9.5,10.75,45.5,35.9375,3.0,185.42,193.04,205.0,1,0
110.0,1,135.5,106.25,182.0,132.5,80.25,17.25,9.75,96.25,0.0,154.94,115.0,76.25,53.0,106.25,100.0,11.75,10.5,48.25,39.0,0.0,165.1,165.1,115.0,0,0
111.0,1,163.0625,113.4375,177.6875,123.625,91.9375,11.25,6.9375,102.0625,0.0,165.1,115.0,73.640625,135.96875,107.921875,260.3125,4.9765625,18.375,62.3671875,87.828125,0.0,162.56,160.02,115.0,0,0
112.0,4,77.75,27.5,112.65625,60.5,19.25,2.0,2.25,31.23876953,0.0,172.72,145.0,89.25,140.171875,107.4909821,184.5,12.5,5.9375,97.5,54.0,0.0,165.1,175.26,135.0,1,0
113.0,6,11.0,9.0,11.0,22.0,8.0,0.0,0.0,7.0,0.0,182.88,170.0,91.90625,127.1835938,96.98046875,173.2226563,6.0546875,31.30078125,81.0625,76.87890625,2.0,177.8,180.34,170.0,1,0
114.0,7,62.75,43.625,92.25,52.375,29.875,5.875,3.625,34.875,3.0,185.42,185.0,58.45965576,45.57012939,68.01452637,54.06494141,6.456176758,11.95318604,46.16400146,35.20471191,1.0,187.96,190.5,185.0,1,0
115.0,9,19.875,24.5,39.625,49.375,22.5,1.75,1.5,12.125,1.0,187.96,240.0,72.89950562,89.25787354,75.13085938,101.418457,16.79879761,10.52966309,67.78948975,68.42056274,7.0,198.12,200.66,255.0,1,0
116.0,7,155.0,96.0,198.0,198.0,91.0,3.0,2.0,89.0,0.0,177.8,185.0,22.25,27.0,34.5,28.25,1.0,1.5,14.25,17.0,0.0,177.8,185.42,185.0,1,0
117.0,4,7.0,10.0,10.0,28.0,8.0,1.0,1.0,3.0,0.0,177.8,145.0,81.0,56.875,83.13220215,63.234375,14.125,3.71875,54.9375,54.64013672,0.0,175.26,180.34,145.0,1,0
118.0,7,42.0,42.0,106.0,60.5,31.0,4.5,2.5,31.5,0.0,182.88,185.0,77.375,68.3125,104.125,97.1875,13.0,4.4375,59.25,56.9375,3.0,185.42,195.58,185.0,1,0
